#Proton Energy	Unshielded SPE Integral Fluence per year	Unshielded SPE Differential Fluence per year
#MeV	protons/cm2	protons/MeV-cm2
1.00E-01	4.93E+11	2.83E+12
2.50E-01	2.89E+11	6.79E+11
5.00E-01	1.93E+11	2.26E+11
1.00E+00	1.29E+11	7.56E+10
2.00E+00	8.63E+10	2.53E+10
3.50E+00	6.14E+10	1.20E+10
5.00E+00	4.83E+10	7.28E+09
7.10E+00	3.58E+10	4.94E+09
8.00E+00	3.13E+10	4.43E+09
9.00E+00	2.75E+10	3.45E+09
1.00E+01	2.44E+10	2.68E+09
1.60E+01	1.51E+10	9.33E+08
1.80E+01	1.35E+10	7.17E+08
2.00E+01	1.22E+10	6.51E+08
2.50E+01	9.32E+09	4.55E+08
3.50E+01	6.04E+09	2.59E+08
4.00E+01	4.84E+09	2.10E+08
4.50E+01	3.94E+09	1.59E+08
5.00E+01	3.25E+09	1.26E+08
7.10E+01	1.51E+09	5.10E+07
8.00E+01	1.12E+09	3.72E+07
9.00E+01	8.19E+08	2.48E+07
1.00E+02	6.28E+08	1.57E+07
1.60E+02	2.09E+08	3.31E+06
1.80E+02	1.56E+08	2.23E+06
2.00E+02	1.20E+08	1.56E+06
2.50E+02	6.72E+07	7.44E+05
4.00E+02	1.83E+07	1.33E+05
5.00E+02	9.89E+06	4.94E+04
