#DSNE Table 3.3.1.10.2-3	
#Al thickness [mm]	Dose [rad]
1.000E-02	3.410E+05
2.500E-02	1.690E+05
5.000E-02	1.030E+05
1.000E-01	6.430E+04
2.000E-01	4.010E+04
3.000E-01	3.000E+04
4.000E-01	2.330E+04
5.000E-01	1.840E+04
6.000E-01	1.500E+04
8.000E-01	1.110E+04
1.000E+00	8.830E+03
2.500E+00	3.910E+03
5.000E+00	1.970E+03
1.000E+01	8.870E+02
1.200E+01	7.030E+02
1.400E+01	5.570E+02
1.600E+01	4.530E+02
1.800E+01	3.770E+02
2.000E+01	3.180E+02
3.000E+01	1.500E+02
5.000E+01	5.970E+01
7.500E+01	2.940E+01
1.000E+02	1.730E+01
