 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Aluminum (dense).txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  5.4040E+00 g/cm3 = 1.2061E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.797E-01  4.085E-03     639 A       250 A       236 A   
  11.00 keV   2.924E-01  3.861E-03     691 A       259 A       247 A   
  12.00 keV   3.044E-01  3.664E-03     742 A       267 A       257 A   
  13.00 keV   3.155E-01  3.489E-03     792 A       275 A       267 A   
  14.00 keV   3.260E-01  3.332E-03     840 A       281 A       276 A   
  15.00 keV   3.359E-01  3.190E-03     888 A       288 A       285 A   
  16.00 keV   3.451E-01  3.062E-03     935 A       294 A       293 A   
  17.00 keV   3.537E-01  2.945E-03     981 A       299 A       301 A   
  18.00 keV   3.618E-01  2.838E-03    1026 A       304 A       309 A   
  20.00 keV   3.766E-01  2.648E-03    1114 A       314 A       323 A   
  22.50 keV   3.925E-01  2.448E-03    1222 A       324 A       339 A   
  25.00 keV   4.062E-01  2.279E-03    1326 A       334 A       354 A   
  27.50 keV   4.178E-01  2.135E-03    1429 A       343 A       368 A   
  30.00 keV   4.276E-01  2.010E-03    1529 A       350 A       381 A   
  32.50 keV   4.360E-01  1.900E-03    1629 A       358 A       393 A   
  35.00 keV   4.430E-01  1.803E-03    1726 A       365 A       404 A   
  37.50 keV   4.489E-01  1.717E-03    1823 A       371 A       416 A   
  40.00 keV   4.538E-01  1.639E-03    1919 A       377 A       426 A   
  45.00 keV   4.612E-01  1.505E-03    2110 A       389 A       446 A   
