 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Aramid Composite.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.3700E+00 g/cm3 = 8.8746E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    028.75    003.12   
      C      6    057.50    074.29   
      O      8    008.75    015.06   
      N      7    005.00    007.53   
 ====================================
 Bragg Correction = -3.61%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.205E-01  6.757E-03    1987 A       524 A       545 A   
  11.00 keV   4.388E-01  6.327E-03    2139 A       538 A       567 A   
  12.00 keV   4.560E-01  5.955E-03    2286 A       552 A       588 A   
  13.00 keV   4.721E-01  5.628E-03    2429 A       564 A       607 A   
  14.00 keV   4.874E-01  5.340E-03    2568 A       575 A       625 A   
  15.00 keV   5.017E-01  5.083E-03    2704 A       585 A       641 A   
  16.00 keV   5.154E-01  4.852E-03    2837 A       594 A       657 A   
  17.00 keV   5.283E-01  4.644E-03    2967 A       602 A       672 A   
  18.00 keV   5.405E-01  4.454E-03    3094 A       611 A       686 A   
  20.00 keV   5.631E-01  4.123E-03    3343 A       626 A       712 A   
  22.50 keV   5.885E-01  3.779E-03    3642 A       642 A       742 A   
  25.00 keV   6.109E-01  3.492E-03    3932 A       657 A       768 A   
  27.50 keV   6.309E-01  3.251E-03    4213 A       670 A       793 A   
  30.00 keV   6.487E-01  3.043E-03    4487 A       682 A       815 A   
  32.50 keV   6.646E-01  2.863E-03    4754 A       693 A       836 A   
  35.00 keV   6.789E-01  2.705E-03    5017 A       703 A       856 A   
  37.50 keV   6.918E-01  2.565E-03    5274 A       712 A       874 A   
  40.00 keV   7.033E-01  2.440E-03    5528 A       721 A       892 A   
