 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Carbon Composite.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.5000E+00 g/cm3 = 9.3466E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    022.62    002.36   
      C      6    073.81    091.73   
      O      8    003.57    005.91   
 ====================================
 Bragg Correction = -3.61%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.274E-01  6.617E-03    1799 A       467 A       488 A   
  11.00 keV   4.458E-01  6.196E-03    1936 A       480 A       507 A   
  12.00 keV   4.629E-01  5.832E-03    2068 A       492 A       526 A   
  13.00 keV   4.790E-01  5.512E-03    2197 A       502 A       542 A   
  14.00 keV   4.942E-01  5.230E-03    2323 A       512 A       558 A   
  15.00 keV   5.085E-01  4.978E-03    2446 A       521 A       573 A   
  16.00 keV   5.219E-01  4.752E-03    2566 A       529 A       587 A   
  17.00 keV   5.347E-01  4.548E-03    2684 A       536 A       600 A   
  18.00 keV   5.467E-01  4.363E-03    2799 A       543 A       612 A   
  20.00 keV   5.689E-01  4.038E-03    3024 A       557 A       636 A   
  22.50 keV   5.936E-01  3.701E-03    3295 A       571 A       662 A   
  25.00 keV   6.154E-01  3.421E-03    3558 A       584 A       686 A   
  27.50 keV   6.346E-01  3.184E-03    3813 A       596 A       707 A   
  30.00 keV   6.517E-01  2.981E-03    4063 A       607 A       727 A   
  32.50 keV   6.670E-01  2.804E-03    4306 A       616 A       746 A   
  35.00 keV   6.806E-01  2.649E-03    4545 A       625 A       764 A   
  37.50 keV   6.929E-01  2.512E-03    4781 A       634 A       780 A   
  40.00 keV   7.038E-01  2.390E-03    5013 A       641 A       796 A   
