 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Glass Composite.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.7000E+00 g/cm3 = 8.3236E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    028.36    002.32   
      C      6    026.87    026.24   
      O      8    031.34    040.77   
     Si     14    013.43    030.67   
 ====================================
 Bragg Correction = -3.61%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.417E-01  5.866E-03    1809 A       578 A       572 A   
  11.00 keV   3.573E-01  5.508E-03    1952 A       597 A       598 A   
  12.00 keV   3.721E-01  5.197E-03    2092 A       614 A       622 A   
  13.00 keV   3.863E-01  4.924E-03    2227 A       629 A       645 A   
  14.00 keV   3.998E-01  4.681E-03    2359 A       643 A       666 A   
  15.00 keV   4.126E-01  4.464E-03    2488 A       656 A       685 A   
  16.00 keV   4.249E-01  4.269E-03    2614 A       668 A       704 A   
  17.00 keV   4.365E-01  4.092E-03    2737 A       679 A       721 A   
  18.00 keV   4.476E-01  3.931E-03    2858 A       690 A       738 A   
  20.00 keV   4.683E-01  3.648E-03    3093 A       709 A       768 A   
  22.50 keV   4.914E-01  3.352E-03    3375 A       731 A       803 A   
  25.00 keV   5.119E-01  3.106E-03    3648 A       749 A       835 A   
  27.50 keV   5.301E-01  2.897E-03    3913 A       766 A       864 A   
  30.00 keV   5.462E-01  2.717E-03    4170 A       781 A       890 A   
  32.50 keV   5.605E-01  2.560E-03    4422 A       795 A       915 A   
  35.00 keV   5.732E-01  2.422E-03    4668 A       808 A       938 A   
  37.50 keV   5.844E-01  2.300E-03    4911 A       820 A       960 A   
  40.00 keV   5.944E-01  2.190E-03    5150 A       831 A       981 A   
