#depth [mm]	Dose [rads in carbon composite]
0.2	8.96E+03
0.4	2.86E+03
0.6	1.77E+03
0.8	1.03E+03
1.0	7.84E+02
1.2	7.11E+02
1.4	5.26E+02
1.6	4.89E+02
1.8	4.54E+02
2.0	4.84E+02
2.2	3.26E+02
2.4	3.20E+02
2.6	3.07E+02
2.8	2.67E+02
3.0	2.23E+02
3.2	2.39E+02
3.4	2.08E+02
3.6	1.39E+02
3.8	1.45E+02
4.0	1.40E+02
4.2	1.39E+02
4.4	1.55E+02
4.6	1.50E+02
4.8	1.31E+02
5.0	1.25E+02
5.2	1.20E+02
5.4	1.35E+02
5.6	1.31E+02
5.8	1.00E+02
6.0	1.02E+02
6.2	9.94E+01
6.4	9.41E+01
6.6	8.67E+01
6.8	9.23E+01
7.0	8.83E+01
7.2	7.69E+01
7.4	7.67E+01
7.6	7.42E+01
7.8	7.11E+01
8.0	7.36E+01
8.2	8.15E+01
8.4	9.14E+01
8.6	8.15E+01
8.8	5.99E+01
9.0	5.11E+01
9.2	4.98E+01
9.4	5.13E+01
9.6	5.43E+01
9.8	5.64E+01
10.0	5.55E+01
10.2	6.04E+01
10.4	6.91E+01
10.6	6.85E+01
10.8	5.27E+01
11.0	4.28E+01
11.2	3.85E+01
11.4	3.58E+01
11.6	3.31E+01
11.8	3.15E+01
12.0	3.17E+01
12.2	3.33E+01
12.4	3.23E+01
12.6	3.27E+01
12.8	3.62E+01
13.0	3.25E+01
13.2	2.64E+01
13.4	2.16E+01
13.6	2.04E+01
13.8	2.07E+01
14.0	2.09E+01
14.2	2.14E+01
14.4	2.20E+01
14.6	2.30E+01
14.8	2.44E+01
15.0	2.46E+01
15.2	2.39E+01
15.4	2.47E+01
15.6	2.62E+01
15.8	2.59E+01
16.0	2.47E+01
16.2	2.20E+01
16.4	1.94E+01
16.6	1.83E+01
16.8	1.82E+01
17.0	1.83E+01
17.2	1.78E+01
17.4	1.74E+01
17.6	1.69E+01
17.8	1.65E+01
18.0	1.65E+01
18.2	1.67E+01
18.4	1.73E+01
18.6	1.80E+01
18.8	1.91E+01
19.0	2.05E+01
19.2	2.18E+01
19.4	2.21E+01
19.6	2.01E+01
19.8	1.67E+01
20.0	1.43E+01
