#Thickness [mm]	Dose [rads in carbon composite]
0.2	8.960E+03
0.4	1.182E+04
0.6	1.359E+04
0.8	1.462E+04
1.0	1.541E+04
1.2	1.612E+04
1.4	1.665E+04
1.6	1.714E+04
1.8	1.759E+04
2.0	1.807E+04
2.2	1.840E+04
2.4	1.872E+04
2.6	1.903E+04
2.8	1.929E+04
3.0	1.952E+04
3.2	1.975E+04
3.4	1.996E+04
3.6	2.010E+04
3.8	2.025E+04
4.0	2.039E+04
4.2	2.052E+04
4.4	2.068E+04
4.6	2.083E+04
4.8	2.096E+04
5.0	2.109E+04
5.2	2.121E+04
5.4	2.134E+04
5.6	2.147E+04
5.8	2.157E+04
6.0	2.167E+04
6.2	2.177E+04
6.4	2.187E+04
6.6	2.195E+04
6.8	2.205E+04
7.0	2.213E+04
7.2	2.221E+04
7.4	2.229E+04
7.6	2.236E+04
7.8	2.243E+04
8.0	2.251E+04
8.2	2.259E+04
8.4	2.268E+04
8.6	2.276E+04
8.8	2.282E+04
9.0	2.287E+04
9.2	2.292E+04
9.4	2.297E+04
9.6	2.303E+04
9.8	2.308E+04
10.0	2.314E+04
10.2	2.320E+04
10.4	2.327E+04
10.6	2.334E+04
10.8	2.339E+04
11.0	2.343E+04
11.2	2.347E+04
11.4	2.351E+04
11.6	2.354E+04
11.8	2.357E+04
12.0	2.360E+04
12.2	2.364E+04
12.4	2.367E+04
12.6	2.370E+04
12.8	2.374E+04
13.0	2.377E+04
13.2	2.380E+04
13.4	2.382E+04
13.6	2.384E+04
13.8	2.386E+04
14.0	2.388E+04
14.2	2.390E+04
14.4	2.392E+04
14.6	2.395E+04
14.8	2.397E+04
15.0	2.400E+04
15.2	2.402E+04
15.4	2.404E+04
15.6	2.407E+04
15.8	2.410E+04
16.0	2.412E+04
16.2	2.414E+04
16.4	2.416E+04
16.6	2.418E+04
16.8	2.420E+04
17.0	2.422E+04
17.2	2.424E+04
17.4	2.425E+04
17.6	2.427E+04
17.8	2.429E+04
18.0	2.430E+04
18.2	2.432E+04
18.4	2.434E+04
18.6	2.435E+04
18.8	2.437E+04
19.0	2.439E+04
19.2	2.442E+04
19.4	2.444E+04
19.6	2.446E+04
19.8	2.447E+04
20.0	2.449E+04
